time (YYYY-MM-DD-HH); significant wave height (m); zero-up-crossing period (s)
1996-04-28-10; 0.9767; 3.5927
1996-04-28-11; 0.9450; 3.6788
1996-04-28-12; 1.0874; 3.8555
1996-04-28-13; 1.1989; 3.9994
1996-04-28-14; 1.2425; 3.9494
1996-04-28-15; 1.3552; 4.2036
1996-04-28-16; 1.4467; 4.2913
1996-04-28-17; 1.3531; 4.1978
1996-04-28-18; 1.2269; 4.2750
1996-04-28-19; 1.3477; 4.3741
1996-04-28-20; 1.1824; 4.1828
1996-04-28-21; 1.2331; 4.3973
1996-04-28-22; 1.1225; 4.3780
1996-04-28-23; 1.2247; 4.4261
1996-04-29-00; 1.1776; 4.4264
1996-04-29-01; 1.0777; 4.2767
1996-04-29-02; 1.0407; 4.3412
1996-04-29-03; 1.0228; 4.2498
1996-04-29-04; 1.0410; 4.2176
1996-04-29-05; 1.0181; 4.1925
1996-04-29-06; 1.0196; 4.0489
1996-04-29-07; 1.0826; 4.1230
1996-04-29-08; 1.1168; 4.0716
1996-04-29-09; 1.1942; 4.1020
1996-04-29-10; 1.2477; 3.9626
1996-04-29-11; 1.2931; 4.0727
1996-04-29-12; 1.3011; 4.2142
1996-04-29-13; 1.3439; 4.3755
1996-04-29-14; 1.4088; 4.5427
1996-04-29-15; 1.3088; 4.3123
1996-04-29-16; 1.2709; 4.3455
1996-04-29-17; 1.2098; 4.6557
1996-04-29-18; 1.1307; 4.6597
1996-04-29-19; 1.1357; 4.6183
1996-04-29-20; 1.1089; 4.7516
1996-04-29-21; 1.0699; 4.7674
1996-04-29-22; 1.0706; 4.7430
1996-04-29-23; 1.0699; 5.0006
1996-04-30-00; 1.1494; 4.5458
1996-04-30-01; 0.9390; 4.6065
1996-04-30-02; 0.8935; 4.7826
1996-04-30-03; 1.2138; 4.1085
1996-04-30-04; 1.1901; 4.1019
1996-04-30-05; 1.2885; 4.3853
1996-04-30-06; 1.3543; 4.3930
1996-04-30-07; 1.3974; 4.0997
1996-04-30-08; 1.6200; 4.2133
1996-04-30-09; 1.8622; 4.4647
1996-04-30-10; 2.2442; 4.8133
1996-04-30-11; 2.6103; 5.1804
1996-04-30-12; 2.6606; 5.4158
1996-04-30-13; 2.9283; 5.5744
1996-04-30-14; 2.9651; 5.6810
1996-04-30-15; 2.9343; 6.1019
1996-04-30-16; 3.0771; 6.2534
1996-04-30-17; 3.0105; 6.3902
1996-04-30-18; 2.6771; 6.4063
1996-04-30-19; 2.9184; 6.6370
1996-04-30-20; 2.5961; 6.4449
1996-04-30-21; 2.8042; 6.4915
1996-04-30-22; 2.3213; 6.0190
1996-04-30-23; 2.5991; 6.1764
1996-05-01-00; 2.3266; 6.1598
1996-05-01-01; 1.9616; 5.7128
1996-05-01-02; 2.1300; 6.0779
1996-05-01-03; 2.0589; 5.8896
1996-05-01-04; 1.8925; 5.8160
1996-05-01-05; 1.7704; 5.6784
1996-05-01-06; 1.6160; 5.5373
1996-05-01-07; 1.6639; 5.5565
1996-05-01-08; 1.5703; 5.6127
1996-05-01-09; 1.4331; 5.2953
1996-05-01-10; 1.4511; 5.4061
1996-05-01-11; 1.3460; 5.2116
1996-05-01-12; 1.2897; 5.0544
1996-05-01-13; 1.1542; 4.9569
1996-05-01-14; 1.1742; 4.8705
1996-05-01-15; 1.1020; 4.7941
1996-05-01-16; 1.0360; 4.8789
1996-05-01-17; 0.9804; 4.6757
1996-05-01-18; 0.9791; 4.5308
1996-05-01-19; 0.8736; 4.3423
1996-05-01-20; 0.8944; 4.3367
1996-05-01-21; 0.9056; 4.2642
1996-05-01-22; 0.8327; 4.2114
1996-05-01-23; 0.7644; 4.1447
1996-05-02-00; 0.7533; 4.2675
1996-05-02-01; 0.7660; 4.2643
1996-05-02-02; 0.7190; 4.0898
1996-05-02-03; 0.6718; 4.1079
1996-05-02-04; 0.7050; 4.0607
1996-05-02-05; 0.6652; 3.9039
1996-05-02-06; 0.7067; 3.7514
1996-05-02-07; 0.7174; 3.8765
1996-05-02-08; 0.6777; 3.9443
1996-05-02-09; 0.6388; 3.9305
1996-05-02-10; 0.6362; 3.8988
1996-05-02-11; 0.5939; 4.0325
1996-05-02-12; 0.6059; 4.0299
1996-05-02-13; 0.5712; 4.1098
1996-05-02-14; 0.6006; 4.3305
1996-05-02-15; 0.5830; 4.2586
1996-05-02-16; 0.5851; 4.2839
1996-05-02-17; 0.6413; 4.1515
1996-05-02-18; 0.6700; 3.9841
1996-05-02-19; 0.6487; 3.8964
1996-05-02-20; 0.6842; 4.0053
1996-05-02-21; 0.7106; 4.0110
1996-05-02-22; 0.7229; 4.0714
1996-05-02-23; 0.7095; 4.1481
1996-05-03-00; 0.6567; 4.2384
1996-05-03-01; 0.6500; 4.1961
1996-05-03-02; 0.6369; 4.1710
1996-05-03-03; 0.6813; 4.3851
1996-05-03-04; 0.6801; 4.2929
1996-05-03-05; 0.6935; 4.0848
1996-05-03-06; 0.7846; 4.2263
1996-05-03-07; 0.7361; 3.9865
1996-05-03-08; 0.7334; 4.0975
1996-05-03-09; 0.7078; 3.9607
1996-05-03-10; 0.7157; 3.9816
1996-05-03-11; 0.6640; 3.9785
1996-05-03-12; 0.6573; 4.1156
1996-05-03-13; 0.6394; 3.8913
1996-05-03-14; 0.5919; 3.9852
1996-05-03-15; 0.6086; 3.8856
1996-05-03-16; 0.5357; 3.7326
1996-05-03-17; 0.5439; 3.7717
1996-05-03-18; 0.5634; 3.7879
1996-05-03-19; 0.5634; 3.6574
1996-05-03-20; 0.6131; 3.4594
1996-05-03-21; 0.6947; 3.4622
1996-05-03-22; 0.7067; 3.5074
1996-05-03-23; 0.7738; 3.4457
1996-05-04-00; 0.8341; 3.4534
1996-05-04-01; 0.8791; 3.6205
1996-05-04-02; 0.8394; 3.7073
1996-05-04-03; 0.8068; 3.6279
1996-05-04-04; 0.8033; 3.8099
1996-05-04-05; 0.7229; 3.6833
1996-05-04-06; 0.7345; 3.9125
1996-05-04-07; 0.7523; 3.8719
1996-05-04-08; 0.6993; 3.8661
1996-05-04-09; 0.7491; 4.0313
1996-05-04-10; 0.6646; 3.9665
1996-05-04-11; 0.6512; 3.9682
1996-05-04-12; 0.6400; 3.9123
1996-05-04-13; 0.7185; 3.8846
1996-05-04-14; 0.7367; 3.8445
1996-05-04-15; 0.7339; 3.9310
1996-05-04-16; 0.6700; 3.9151
1996-05-04-17; 0.6664; 3.8953
1996-05-04-18; 0.6105; 3.8495
1996-05-04-19; 0.6567; 3.7908
1996-05-04-20; 0.6555; 3.6842
1996-05-04-21; 0.6730; 3.7565
1996-05-04-22; 0.7055; 3.7811
1996-05-04-23; 0.7469; 3.9011
1996-05-05-00; 0.7163; 4.0924
1996-05-05-01; 0.7168; 4.0774
1996-05-05-02; 0.7101; 4.0924
1996-05-05-03; 0.6912; 4.0299
1996-05-05-04; 0.6819; 3.9686
1996-05-05-05; 0.7862; 3.9284
1996-05-05-06; 0.7660; 3.9584
1996-05-05-07; 0.8023; 3.9851
1996-05-05-08; 0.8078; 4.0644
1996-05-05-09; 0.8498; 4.0991
1996-05-05-10; 0.9152; 4.2231
1996-05-05-11; 0.8103; 4.1893
1996-05-05-12; 0.8953; 4.2442
1996-05-05-13; 0.9509; 4.4536
1996-05-05-14; 0.8904; 4.2590
1996-05-05-15; 0.9161; 4.4895
1996-05-05-16; 0.9614; 4.6271
1996-05-05-17; 0.9909; 4.5552
1996-05-05-18; 0.9002; 4.4978
1996-05-05-19; 0.9559; 4.4621
1996-05-05-20; 1.0200; 4.5688
1996-05-05-21; 0.9873; 4.4399
1996-05-05-22; 1.1339; 4.7867
1996-05-05-23; 1.0932; 4.8309
1996-05-06-00; 1.1445; 4.9633
1996-05-06-01; 1.1745; 5.1417
1996-05-06-02; 1.0567; 4.8992
1996-05-06-03; 1.1810; 4.9677
1996-05-06-04; 1.2586; 5.1019
1996-05-06-05; 1.2617; 4.9767
1996-05-06-06; 1.2535; 4.9346
1996-05-06-07; 1.3740; 4.9278
1996-05-06-08; 1.3045; 4.9435
1996-05-06-09; 1.3902; 5.1653
1996-05-06-10; 1.3460; 5.0056
1996-05-06-11; 1.3760; 5.1089
1996-05-06-12; 1.3856; 5.2043
1996-05-06-13; 1.2706; 5.0036
1996-05-06-14; 1.2550; 4.7739
1996-05-06-15; 1.1945; 4.7961
1996-05-06-16; 1.2098; 4.7221
1996-05-06-17; 1.3349; 4.8478
1996-05-06-18; 1.3192; 4.9844
1996-05-06-19; 1.3382; 4.8842
1996-05-06-20; 1.3501; 4.9371
1996-05-06-21; 1.2684; 4.8382
1996-05-06-22; 1.2756; 4.8601
1996-05-06-23; 1.2872; 4.6051
1996-05-07-00; 1.4065; 5.1825
1996-05-07-01; 1.3048; 4.8129
1996-05-07-02; 1.1749; 4.5677
1996-05-07-03; 1.2289; 4.6903
1996-05-07-04; 1.1965; 4.6102
1996-05-07-05; 1.1508; 4.8620
1996-05-07-06; 1.1962; 4.9229
