time (YYYY-MM-DD-HH); significant wave height (m); zero-up-crossing period (s)
2006-01-03-03; 1.1215; 4.7643
2006-01-03-04; 1.1528; 4.9005
2006-01-03-05; 0.9407; 4.6336
2006-01-03-06; 0.9979; 4.6856
2006-01-03-07; 0.8599; 4.4780
2006-01-03-08; 0.8770; 4.5506
2006-01-03-09; 0.8832; 4.5365
2006-01-03-10; 0.7353; 4.5881
2006-01-03-11; 0.7440; 4.6256
2006-01-03-12; 0.7639; 4.6088
2006-01-03-13; 0.7928; 4.4373
2006-01-03-14; 0.8144; 4.4410
2006-01-03-15; 0.8692; 4.6020
2006-01-03-16; 0.8444; 4.6596
2006-01-03-17; 0.8186; 4.6207
2006-01-03-18; 0.7928; 4.5575
2006-01-03-19; 0.7544; 4.5530
2006-01-03-20; 0.6955; 4.5510
2006-01-03-21; 0.7320; 4.6916
2006-01-03-22; 0.7163; 4.7881
2006-01-03-23; 0.6293; 4.9248
2006-01-04-00; 0.6242; 4.8473
2006-01-04-01; 0.6733; 4.7392
2006-01-04-02; 0.6381; 4.9165
2006-01-04-03; 0.6530; 4.8030
2006-01-04-04; 0.6543; 4.9202
2006-01-04-05; 0.6164; 4.6919
2006-01-04-06; 0.5993; 5.0168
2006-01-04-07; 0.5719; 4.9222
2006-01-04-08; 0.5505; 4.8414
2006-01-04-09; 0.4999; 4.6857
2006-01-04-10; 0.5133; 4.8397
2006-01-04-11; 0.5174; 4.6233
2006-01-04-12; 0.5240; 4.6193
2006-01-04-13; 0.4997; 4.6430
2006-01-04-14; 0.5073; 4.6340
2006-01-04-15; 0.4892; 4.6564
2006-01-04-16; 0.4936; 4.5633
2006-01-04-17; 0.4613; 4.5860
2006-01-04-18; 0.4199; 4.4357
2006-01-04-19; 0.4256; 4.4433
2006-01-04-20; 0.3804; 4.5209
2006-01-04-21; 0.3675; 4.6053
2006-01-04-22; 0.3581; 4.6461
2006-01-04-23; 0.3421; 4.6676
2006-01-05-00; 0.3101; 4.7442
2006-01-05-01; 0.3228; 4.7058
2006-01-05-02; 0.3023; 4.7028
2006-01-05-03; 0.3092; 4.6738
2006-01-05-04; 0.2996; 4.9593
2006-01-05-05; 0.2993; 4.9371
2006-01-05-06; 0.2922; 4.8415
2006-01-05-07; 0.2922; 5.0327
2006-01-05-08; 0.2686; 5.0624
2006-01-05-09; 0.2595; 5.1438
2006-01-05-10; 0.2969; 4.5682
2006-01-05-11; 0.3134; 4.9696
2006-01-05-12; 0.3178; 3.9301
2006-01-05-13; 0.3178; 3.6911
2006-01-05-14; 0.3846; 3.5318
2006-01-05-15; 0.4445; 3.4589
2006-01-05-16; 0.5151; 3.4821
2006-01-05-17; 0.7078; 3.7841
2006-01-05-18; 0.9347; 4.1953
2006-01-05-19; 1.1516; 4.4253
2006-01-05-20; 1.4366; 4.7910
2006-01-05-21; 1.8865; 5.3632
2006-01-05-22; 1.7794; 5.2890
2006-01-05-23; 1.9338; 5.5374
2006-01-06-00; 2.3012; 5.9209
2006-01-06-01; 2.5512; 6.0313
2006-01-06-02; 2.7464; 6.2566
2006-01-06-03; 2.6910; 6.0025
2006-01-06-04; 2.8889; 6.3244
2006-01-06-05; 3.2278; 6.4818
2006-01-06-06; 3.1958; 6.4785
2006-01-06-08; 3.4109; 6.8077
2006-01-06-09; 3.8119; 7.0016
2006-01-06-10; 3.5270; 6.8135
2006-01-06-11; 3.4224; 6.8170
2006-01-06-12; 3.4032; 6.7288
2006-01-06-13; 3.8705; 7.0401
2006-01-06-14; 3.8100; 7.1999
2006-01-06-15; 3.7573; 7.1008
2006-01-06-16; 3.2565; 6.6473
2006-01-06-17; 3.6849; 6.9803
2006-01-06-18; 3.5424; 6.7335
2006-01-06-19; 3.5219; 6.7293
2006-01-06-20; 3.1225; 6.5481
2006-01-06-21; 3.4112; 6.7774
2006-01-06-22; 3.0481; 6.4800
2006-01-06-23; 3.2307; 6.5473
2006-01-07-00; 3.0481; 6.5242
2006-01-07-01; 3.3170; 6.7729
2006-01-07-02; 3.1855; 6.8547
2006-01-07-03; 3.0075; 6.6684
2006-01-07-04; 3.0334; 6.9471
2006-01-07-05; 2.5692; 6.4743
2006-01-07-06; 2.7272; 6.7064
2006-01-07-07; 2.4192; 6.3858
2006-01-07-08; 2.4856; 6.5212
2006-01-07-09; 2.3836; 6.4844
2006-01-07-10; 2.2284; 6.3292
2006-01-07-11; 2.2842; 6.4925
2006-01-07-12; 1.9700; 6.0255
2006-01-07-13; 1.9132; 5.9510
2006-01-07-14; 1.9454; 6.2748
2006-01-07-15; 1.8436; 6.0821
2006-01-07-16; 1.6938; 5.9573
2006-01-07-17; 1.7717; 6.0793
2006-01-07-18; 1.7637; 6.0533
2006-01-07-19; 1.6305; 5.9874
2006-01-07-20; 1.4820; 5.8352
2006-01-07-21; 1.3149; 5.6432
2006-01-07-22; 1.2676; 5.8338
2006-01-07-23; 1.1139; 5.5063
2006-01-08-00; 1.1964; 5.6649
2006-01-08-01; 1.0110; 5.3705
2006-01-08-02; 0.9431; 5.3173
2006-01-08-03; 0.9013; 5.3316
2006-01-08-04; 0.8949; 5.2612
2006-01-08-05; 0.8230; 5.2362
2006-01-08-06; 0.7803; 5.1672
2006-01-08-07; 0.7168; 5.0620
2006-01-08-08; 0.7575; 5.1832
2006-01-08-09; 0.6547; 4.9330
2006-01-08-10; 0.6934; 4.5611
2006-01-08-11; 0.6546; 4.3440
2006-01-08-12; 0.6171; 3.9584
2006-01-08-13; 0.6123; 3.8215
2006-01-08-14; 0.5919; 3.6658
2006-01-08-15; 0.5944; 3.5812
2006-01-08-16; 0.6964; 3.5705
2006-01-08-17; 0.6970; 3.4499
2006-01-08-18; 0.6893; 3.4853
2006-01-08-19; 0.7795; 3.5180
2006-01-08-20; 0.7891; 3.5673
2006-01-08-21; 0.9022; 3.5919
2006-01-08-22; 0.9492; 3.6613
2006-01-08-23; 0.9662; 3.6506
2006-01-09-00; 0.9591; 3.7646
2006-01-09-01; 0.9392; 3.7840
2006-01-09-02; 0.8906; 3.8707
2006-01-09-03; 0.8251; 3.7901
2006-01-09-04; 0.8632; 3.7773
2006-01-09-05; 0.9043; 3.6785
2006-01-09-06; 0.8884; 3.7391
2006-01-09-07; 0.9705; 3.8142
2006-01-09-08; 0.9911; 3.8282
2006-01-09-09; 1.0738; 3.8851
2006-01-09-10; 1.0309; 3.9926
2006-01-09-11; 0.9808; 3.9982
2006-01-09-12; 0.9164; 3.9963
2006-01-09-13; 0.9621; 3.9234
2006-01-09-14; 1.0232; 3.5384
2006-01-09-15; 0.9945; 3.8585
2006-01-09-16; 0.9986; 3.9552
2006-01-09-17; 0.9209; 3.8649
2006-01-09-18; 0.8943; 3.5922
2006-01-09-19; 0.8593; 3.6118
2006-01-09-20; 0.8911; 3.7698
2006-01-09-21; 0.8508; 3.5375
2006-01-09-22; 0.8845; 3.6054
2006-01-09-23; 0.8609; 3.6737
2006-01-10-00; 0.9235; 3.4069
2006-01-10-01; 1.1359; 3.4843
2006-01-10-02; 1.4430; 3.7737
2006-01-10-03; 1.7352; 3.9310
2006-01-10-04; 1.9988; 4.2856
2006-01-10-05; 2.2834; 4.3618
2006-01-10-06; 2.3266; 4.5622
2006-01-10-07; 2.2187; 4.7097
2006-01-10-08; 2.1276; 4.5928
2006-01-10-09; 2.0231; 4.5702
2006-01-10-10; 1.9109; 4.6297
2006-01-10-11; 1.9104; 4.3696
2006-01-10-12; 1.9981; 4.5154
2006-01-10-13; 1.9543; 4.5843
2006-01-10-14; 1.7384; 4.4222
2006-01-10-15; 1.6201; 4.3749
2006-01-10-16; 1.6136; 4.2389
2006-01-10-17; 1.4997; 4.2127
2006-01-10-18; 1.5623; 4.3766
2006-01-10-19; 1.3551; 4.3518
2006-01-10-20; 1.2151; 4.6306
2006-01-10-21; 1.1333; 4.7521
2006-01-10-22; 1.2219; 5.1920
2006-01-10-23; 1.2128; 5.2897
2006-01-11-00; 1.2272; 5.3343
2006-01-11-01; 1.1670; 5.4717
2006-01-11-02; 1.0782; 5.4618
2006-01-11-03; 1.1734; 5.4391
2006-01-11-04; 1.1217; 5.4370
2006-01-11-05; 1.1734; 5.6499
2006-01-11-06; 1.1170; 5.5542
2006-01-11-07; 1.1178; 5.4041
2006-01-11-08; 0.9049; 5.1010
2006-01-11-09; 0.9212; 5.4598
2006-01-11-10; 1.0065; 5.5384
2006-01-11-11; 0.8769; 5.4700
2006-01-11-12; 0.9709; 5.7037
2006-01-11-13; 0.8976; 5.4049
2006-01-11-14; 0.8838; 5.4223
2006-01-11-15; 0.8059; 5.3184
2006-01-11-16; 0.8592; 5.5500
2006-01-11-17; 0.7920; 5.0379
2006-01-11-18; 0.8881; 5.3205
2006-01-11-19; 0.9914; 5.3847
2006-01-11-20; 1.2277; 5.6278
2006-01-11-21; 1.0912; 5.2599
2006-01-11-22; 1.0792; 5.1406
2006-01-11-23; 1.1883; 5.2279
2006-01-12-00; 1.0994; 4.8990
2006-01-12-01; 1.0102; 4.7735
2006-01-12-02; 1.0177; 4.6095
2006-01-12-03; 0.9343; 4.3607
2006-01-12-04; 0.9834; 4.4741
2006-01-12-05; 0.9077; 4.4644
2006-01-12-06; 0.8825; 4.4676
2006-01-12-07; 0.7830; 4.3722
2006-01-12-08; 0.7216; 4.3685
2006-01-12-09; 0.7375; 4.5456
2006-01-12-10; 0.7003; 4.4295
2006-01-12-11; 0.6799; 4.4158
2006-01-12-12; 0.6405; 4.5121
2006-01-12-13; 0.5902; 4.1863
2006-01-12-14; 0.5666; 4.0541
2006-01-12-15; 0.5966; 3.4843
2006-01-12-16; 0.5749; 3.7261
2006-01-12-17; 0.5835; 3.5083
2006-01-12-18; 0.5126; 3.6507
2006-01-12-19; 0.5299; 3.4671
2006-01-12-20; 0.4830; 3.4348
2006-01-12-21; 0.5133; 3.3367
2006-01-12-22; 0.5266; 3.2116
2006-01-12-23; 0.5616; 3.2554
2006-01-13-00; 0.6072; 3.1253
2006-01-13-01; 0.6309; 3.2424
2006-01-13-02; 0.7383; 3.2729
2006-01-13-03; 0.8413; 3.3800
2006-01-13-04; 0.8377; 3.4773
2006-01-13-05; 0.8451; 3.5993
2006-01-13-06; 0.7764; 3.6334
2006-01-13-07; 0.8069; 3.5856
2006-01-13-08; 0.8110; 3.6170
2006-01-13-09; 0.7477; 3.6392
2006-01-13-10; 0.7501; 3.7384
2006-01-13-11; 0.6857; 3.7931
2006-01-13-12; 0.7111; 3.7638
2006-01-13-13; 0.6848; 3.7039
2006-01-13-14; 0.6447; 3.7829
2006-01-13-15; 0.6197; 3.7803
2006-01-13-16; 0.6151; 3.7700
2006-01-13-17; 0.6394; 3.8799
2006-01-13-18; 0.7836; 4.0588
2006-01-13-19; 0.8435; 4.2831
2006-01-13-20; 0.8745; 4.5107
2006-01-13-21; 1.0693; 4.8785
2006-01-13-22; 1.2155; 5.0762
2006-01-13-23; 1.4214; 4.9294
2006-01-14-00; 1.7116; 5.1624
2006-01-14-01; 2.0668; 5.3559
2006-01-14-02; 2.3533; 5.6370
2006-01-14-03; 2.3704; 5.6895
2006-01-14-04; 2.9108; 6.1566
2006-01-14-05; 3.5090; 6.6497
2006-01-14-06; 3.2354; 6.3300
2006-01-14-07; 3.4448; 6.5955
2006-01-14-08; 3.4833; 6.6447
2006-01-14-09; 3.6853; 6.8416
2006-01-14-10; 3.5711; 6.7589
2006-01-14-11; 3.8061; 6.9262
2006-01-14-12; 3.5621; 6.7255
2006-01-14-13; 3.6831; 6.8337
2006-01-14-14; 3.5336; 6.7220
2006-01-14-15; 3.5185; 6.4579
2006-01-14-16; 3.2614; 6.3973
2006-01-14-17; 3.1790; 6.3631
2006-01-14-18; 3.2824; 6.6917
2006-01-14-19; 3.0678; 6.5770
2006-01-14-20; 2.9068; 6.5096
2006-01-14-21; 3.3490; 7.0005
2006-01-14-22; 3.0065; 6.8681
2006-01-14-23; 2.7837; 6.8454
2006-01-15-00; 2.6596; 6.6311
2006-01-15-01; 2.5025; 6.4828
2006-01-15-02; 2.3157; 6.1036
2006-01-15-03; 2.3062; 6.2352
2006-01-15-04; 2.2087; 6.1658
2006-01-15-05; 2.0326; 5.8559
2006-01-15-06; 1.8578; 5.6934
2006-01-15-07; 1.9269; 5.8075
2006-01-15-08; 1.7981; 5.5596
2006-01-15-10; 1.5112; 5.3668
2006-01-15-11; 1.4971; 5.3761
2006-01-15-12; 1.3353; 5.0913
2006-01-15-13; 1.3320; 5.1131
2006-01-15-14; 1.3253; 5.1829
2006-01-15-15; 1.1916; 4.9379
2006-01-15-16; 1.1339; 4.9612
2006-01-15-17; 1.0316; 4.8046
2006-01-15-18; 1.0101; 4.7769
2006-01-15-19; 0.9320; 4.7809
2006-01-15-20; 0.9440; 4.9082
2006-01-15-21; 0.8582; 4.8697
2006-01-15-22; 0.8417; 4.9642
2006-01-15-23; 0.7743; 4.6757
2006-01-16-00; 0.6977; 4.5476
2006-01-16-01; 0.7185; 4.7709
2006-01-16-02; 0.6695; 4.5154
2006-01-16-03; 0.6405; 4.6117
2006-01-16-04; 0.6158; 4.6992
2006-01-16-05; 0.6455; 4.1694
2006-01-16-06; 0.6266; 3.8954
2006-01-16-07; 0.6079; 3.6172
2006-01-16-08; 0.6676; 3.7484
2006-01-16-09; 0.6599; 3.6999
2006-01-16-10; 0.7672; 3.6447
2006-01-16-11; 0.8327; 3.8054
2006-01-16-12; 0.9356; 3.7506
2006-01-16-13; 1.1637; 4.0543
2006-01-16-14; 1.0825; 4.1107
2006-01-16-15; 1.3879; 4.3469
2006-01-16-16; 1.3703; 4.3996
2006-01-16-17; 1.3823; 4.4851
2006-01-16-18; 1.4221; 4.5410
2006-01-16-19; 1.5967; 4.7541
2006-01-16-20; 1.6797; 4.9717
2006-01-16-21; 1.7849; 5.0146
2006-01-16-22; 1.6872; 4.8051
2006-01-16-23; 1.8454; 5.0304
2006-01-17-00; 2.0754; 5.0479
2006-01-17-01; 2.2178; 5.1883
2006-01-17-02; 2.4721; 5.4451
2006-01-17-03; 2.3417; 5.3400
2006-01-17-04; 2.5135; 5.2632
2006-01-17-05; 2.6733; 5.2905
2006-01-17-06; 2.6889; 5.1495
2006-01-17-07; 2.7288; 5.1322
2006-01-17-08; 3.2312; 5.6629
2006-01-17-09; 3.4310; 5.7303
2006-01-17-10; 3.7080; 5.9753
2006-01-17-11; 3.8602; 6.0386
2006-01-17-12; 4.2871; 6.4207
2006-01-17-13; 4.2599; 6.8489
2006-01-17-14; 3.9949; 6.9120
2006-01-17-15; 3.8427; 7.0141
2006-01-17-16; 3.9274; 7.0065
2006-01-17-17; 3.9637; 7.1244
2006-01-17-18; 3.7978; 7.2774
2006-01-17-19; 3.9067; 6.6677
2006-01-17-20; 4.0756; 6.7180
2006-01-17-21; 3.7468; 6.6288
2006-01-17-22; 3.9468; 7.0488
2006-01-17-23; 4.1178; 7.2014
2006-01-18-00; 4.0706; 7.1392
2006-01-18-01; 4.7248; 7.4919
2006-01-18-02; 4.7574; 7.6110
2006-01-18-04; 4.4190; 7.4735
2006-01-18-05; 4.4908; 7.5307
2006-01-18-06; 5.1775; 8.0562
2006-01-18-07; 4.6098; 7.7518
2006-01-18-08; 5.0008; 8.2416
2006-01-18-09; 4.5729; 8.0745
2006-01-18-10; 4.2710; 7.9365
2006-01-18-11; 4.6402; 8.2479
2006-01-18-12; 4.5627; 8.2067
2006-01-18-13; 4.2544; 7.9799
2006-01-18-14; 3.9945; 7.8377
2006-01-18-15; 4.0633; 8.0929
2006-01-18-16; 3.7994; 7.8877
2006-01-18-17; 3.3736; 7.5974
2006-01-18-18; 3.2848; 7.8570
2006-01-18-19; 3.2816; 7.7763
2006-01-18-21; 2.9706; 7.3747
2006-01-18-22; 2.8325; 7.3008
2006-01-18-23; 2.5999; 7.0482
2006-01-19-00; 2.4179; 6.8873
2006-01-19-01; 2.1722; 6.5244
2006-01-19-02; 2.0108; 6.2238
2006-01-19-03; 2.0910; 6.5124
2006-01-19-04; 1.8246; 6.0757
2006-01-19-05; 1.6333; 5.7099
2006-01-19-06; 1.5889; 5.5864
2006-01-19-07; 1.4003; 5.3637
2006-01-19-08; 1.4143; 5.4464
2006-01-19-09; 1.1639; 4.8425
2006-01-19-10; 1.0623; 4.7844
2006-01-19-11; 1.0575; 4.6512
2006-01-19-12; 0.9906; 4.4832
2006-01-19-13; 0.9232; 4.1019
2006-01-19-14; 0.8822; 3.8759
2006-01-19-15; 0.9539; 3.5327
2006-01-19-16; 0.9409; 3.5272
2006-01-19-17; 0.9298; 3.4639
2006-01-19-18; 0.9769; 3.5141
2006-01-19-19; 0.9356; 3.6208
2006-01-19-20; 0.8671; 3.6773
2006-01-19-21; 0.8677; 3.7770
2006-01-19-22; 0.8997; 3.9442
2006-01-19-23; 0.9243; 3.9534
2006-01-20-00; 0.9308; 3.8490
2006-01-20-01; 0.9177; 3.8762
2006-01-20-02; 1.0207; 3.7566
2006-01-20-03; 1.1426; 3.8452
2006-01-20-04; 1.2502; 4.0199
2006-01-20-05; 1.2670; 4.0423
2006-01-20-06; 1.2112; 3.9709
2006-01-20-07; 1.2705; 3.9588
2006-01-20-08; 1.2999; 3.9856
2006-01-20-09; 1.4641; 4.0129
2006-01-20-10; 1.5766; 4.1528
2006-01-20-11; 1.6031; 4.3702
2006-01-20-12; 1.6455; 4.2890
2006-01-20-13; 1.5284; 4.3684
2006-01-20-14; 1.5783; 4.5775
2006-01-20-15; 1.6153; 4.6117
2006-01-20-16; 1.7672; 4.8443
2006-01-20-17; 1.7343; 4.8172
2006-01-20-18; 1.9591; 5.1396
2006-01-20-19; 1.9902; 5.1205
2006-01-20-20; 1.9417; 5.2431
2006-01-20-21; 1.9708; 5.5729
2006-01-20-22; 1.8749; 5.3696
2006-01-20-23; 1.7565; 5.2972
2006-01-21-00; 1.7029; 5.3274
2006-01-21-01; 1.9211; 5.5841
2006-01-21-02; 1.9835; 5.3356
2006-01-21-03; 1.7971; 5.3508
2006-01-21-04; 2.0184; 5.7260
2006-01-21-05; 1.7140; 5.3217
2006-01-21-06; 1.8737; 5.5828
2006-01-21-07; 1.7767; 5.2645
2006-01-21-08; 1.6893; 5.1895
2006-01-21-09; 1.7116; 5.2038
2006-01-21-10; 1.7970; 5.3522
2006-01-21-11; 1.6226; 4.9136
2006-01-21-12; 1.6765; 5.1189
2006-01-21-13; 1.6211; 5.0304
2006-01-21-14; 1.4728; 4.9258
2006-01-21-15; 1.4338; 5.2360
2006-01-21-16; 1.4979; 5.4023
2006-01-21-17; 1.3960; 5.4146
2006-01-21-18; 1.3443; 5.3096
2006-01-21-19; 1.4847; 5.6695
2006-01-21-20; 1.3831; 5.3445
2006-01-21-21; 1.3488; 5.3425
2006-01-21-22; 1.3793; 5.2528
2006-01-21-23; 1.4134; 5.2357
2006-01-22-00; 1.4882; 5.1729
2006-01-22-01; 1.5452; 5.2839
2006-01-22-02; 1.3832; 5.0781
2006-01-22-03; 1.4520; 5.1843
2006-01-22-04; 1.3387; 5.0908
2006-01-22-05; 1.3433; 5.1210
2006-01-22-06; 1.3016; 5.0852
2006-01-22-07; 1.3457; 4.8907
2006-01-22-08; 1.3766; 4.8035
2006-01-22-09; 1.3549; 4.7164
2006-01-22-10; 1.3840; 4.6047
2006-01-22-11; 1.4807; 4.6537
2006-01-22-12; 1.5436; 4.7506
2006-01-22-13; 1.4882; 4.6582
2006-01-22-16; 1.8575; 5.0444
2006-01-22-17; 1.7017; 5.0821
2006-01-22-18; 1.5589; 5.0560
2006-01-22-19; 1.5296; 5.0833
2006-01-22-20; 1.5872; 5.2491
2006-01-22-21; 1.5511; 5.2889
2006-01-22-22; 1.6047; 5.5325
2006-01-22-23; 1.4446; 5.2923
2006-01-23-00; 1.3495; 5.2131
2006-01-23-01; 1.3777; 5.2257
2006-01-23-02; 1.3048; 4.9689
2006-01-23-03; 1.3002; 5.0902
2006-01-23-04; 1.3133; 5.0088
2006-01-23-05; 1.2598; 4.9307
2006-01-23-06; 1.3735; 4.9922
2006-01-23-07; 1.3503; 4.9624
2006-01-23-08; 1.4957; 4.9944
2006-01-23-09; 1.2857; 4.9266
2006-01-23-10; 1.2797; 5.1186
2006-01-23-11; 1.3983; 5.3642
2006-01-23-12; 1.1941; 5.0833
2006-01-23-13; 1.1735; 5.2831
2006-01-23-14; 1.2377; 5.6480
2006-01-23-15; 1.2773; 5.7754
2006-01-23-16; 1.1925; 5.7296
2006-01-23-17; 1.2118; 5.8817
2006-01-23-18; 1.0820; 5.8041
2006-01-23-19; 1.0421; 5.9541
2006-01-23-20; 1.0102; 5.9542
2006-01-23-21; 0.9570; 5.8146
2006-01-23-22; 0.8867; 5.7989
2006-01-23-23; 0.8775; 5.6539
2006-01-24-01; 0.8714; 5.7804
2006-01-24-02; 0.8017; 5.7631
2006-01-24-03; 0.9435; 5.9845
2006-01-24-04; 0.7839; 5.7674
2006-01-24-05; 0.7098; 5.7250
2006-01-24-06; 0.7140; 5.7710
2006-01-24-07; 0.8201; 6.5130
2006-01-24-08; 0.8562; 6.4358
2006-01-24-09; 0.8391; 6.0921
2006-01-24-10; 0.8493; 6.3576
2006-01-24-11; 0.7907; 5.9097
2006-01-24-12; 0.6829; 5.7113
2006-01-24-13; 0.6459; 5.4959
2006-01-24-14; 0.6350; 5.0758
2006-01-24-15; 0.9413; 4.5053
2006-01-24-16; 1.4141; 4.8693
2006-01-24-17; 1.7309; 5.1183
2006-01-24-18; 1.5196; 5.0612
2006-01-24-19; 1.4732; 4.9960
2006-01-24-20; 1.4752; 4.9977
2006-01-24-21; 1.5182; 5.2517
2006-01-24-22; 1.4560; 5.1503
2006-01-24-23; 1.4583; 5.2310
2006-01-25-00; 1.2707; 5.1483
2006-01-25-01; 1.2463; 4.9622
2006-01-25-02; 1.2046; 4.7183
2006-01-25-03; 1.1982; 4.7431
2006-01-25-04; 1.3035; 4.7662
2006-01-25-05; 1.2846; 4.6921
2006-01-25-06; 1.3638; 4.7256
2006-01-25-07; 1.4025; 4.7734
2006-01-25-08; 1.5752; 5.0392
2006-01-25-09; 1.6907; 5.0837
2006-01-25-10; 1.6494; 5.2066
2006-01-25-11; 1.7315; 5.1062
2006-01-25-12; 1.7293; 5.1279
2006-01-25-13; 1.8321; 5.1947
2006-01-25-14; 1.8418; 5.0446
2006-01-25-15; 2.0026; 5.2411
2006-01-25-16; 1.9999; 5.3309
2006-01-25-17; 1.8995; 5.3947
2006-01-25-18; 2.0894; 5.5215
2006-01-25-19; 2.1960; 5.5135
2006-01-25-20; 2.1243; 5.5557
2006-01-25-21; 2.1722; 5.5846
2006-01-25-22; 2.1494; 5.5778
2006-01-25-23; 2.2041; 5.8380
2006-01-26-00; 2.1679; 5.6952
2006-01-26-01; 2.1689; 5.7401
2006-01-26-02; 2.0286; 5.7505
2006-01-26-03; 2.0732; 5.7192
2006-01-26-04; 1.8973; 5.4999
2006-01-26-05; 1.9396; 5.6123
2006-01-26-06; 1.7761; 5.2469
2006-01-26-07; 1.7495; 5.4319
2006-01-26-08; 1.9993; 5.6849
2006-01-26-09; 2.2928; 5.9134
2006-01-26-10; 2.2412; 6.0181
2006-01-26-11; 2.1424; 5.7362
2006-01-26-12; 2.1661; 5.8092
2006-01-26-13; 2.0763; 5.6673
2006-01-26-14; 2.1138; 5.6304
2006-01-26-16; 2.0050; 5.4825
2006-01-26-17; 2.1326; 5.7197
2006-01-26-18; 1.9642; 5.4424
2006-01-26-19; 1.9940; 5.6575
2006-01-26-20; 2.1853; 5.8509
2006-01-26-21; 2.0345; 5.7404
2006-01-26-23; 2.0416; 5.9671
2006-01-27-00; 2.0377; 6.0542
2006-01-27-01; 2.0650; 6.0239
2006-01-27-02; 1.8164; 5.6273
2006-01-27-03; 1.9680; 5.7684
2006-01-27-04; 1.7982; 5.7136
2006-01-27-05; 1.9284; 5.8018
2006-01-27-06; 2.0421; 5.9043
2006-01-27-07; 1.8231; 5.4997
2006-01-27-08; 1.6527; 5.4143
2006-01-27-09; 1.7801; 5.7910
2006-01-27-10; 1.6849; 5.6182
2006-01-27-11; 1.7114; 5.7148
2006-01-27-12; 1.6087; 5.6215
2006-01-27-13; 1.7557; 5.8424
2006-01-27-14; 1.5909; 5.4729
2006-01-27-15; 1.4685; 5.2928
2006-01-27-16; 1.5470; 5.4640
2006-01-27-17; 1.4473; 5.2357
2006-01-27-18; 1.5299; 5.3876
2006-01-27-19; 1.3911; 5.2470
2006-01-27-20; 1.4758; 5.3371
2006-01-27-21; 1.5193; 5.3692
2006-01-27-22; 1.3866; 4.8886
2006-01-27-23; 1.4460; 4.8802
2006-01-28-00; 1.4260; 4.6192
2006-01-28-01; 1.4216; 4.5053
2006-01-28-02; 1.6093; 4.6306
2006-01-28-03; 1.7944; 4.7397
2006-01-28-04; 1.7938; 4.5551
2006-01-28-05; 1.9272; 4.7705
2006-01-28-06; 2.0684; 5.0839
2006-01-28-07; 2.2870; 5.3356
2006-01-28-08; 2.2062; 5.1466
2006-01-28-09; 2.3739; 5.3650
2006-01-28-10; 2.2581; 5.2195
2006-01-28-11; 2.1803; 5.2753
2006-01-28-12; 2.3912; 5.3652
2006-01-28-13; 2.3329; 5.5588
2006-01-28-14; 2.4028; 5.2837
2006-01-28-15; 2.3392; 5.2971
2006-01-28-16; 2.2024; 5.3654
2006-01-28-17; 2.1567; 5.3473
2006-01-28-18; 2.5634; 5.7351
2006-01-28-19; 2.3959; 5.6679
2006-01-28-20; 2.5840; 5.9210
2006-01-28-21; 2.3711; 5.3102
2006-01-28-22; 2.1694; 4.6152
2006-01-28-23; 2.0829; 4.7658
