time (YYYY-MM-DD-HH); significant wave height (m); zero-up-crossing period (s)
2006-01-03-19; 0.8410; 3.6704
2006-01-03-20; 0.7797; 3.7646
2006-01-03-21; 0.7494; 3.5741
2006-01-03-22; 0.7509; 3.2592
2006-01-03-23; 0.7228; 3.2609
2006-01-04-00; 0.6361; 3.2303
2006-01-04-01; 0.7648; 3.4107
2006-01-04-02; 0.7000; 3.3372
2006-01-04-03; 0.9331; 3.4899
2006-01-04-04; 0.9298; 3.5513
2006-01-04-05; 0.9246; 3.6091
2006-01-04-06; 0.8704; 3.4850
2006-01-04-07; 0.8684; 3.6373
2006-01-04-08; 1.0103; 3.9834
2006-01-04-09; 1.1973; 4.4300
2006-01-04-10; 1.1697; 4.4623
2006-01-04-11; 1.0595; 4.2712
2006-01-04-12; 0.9984; 4.2544
2006-01-04-13; 0.9624; 4.2304
2006-01-04-14; 0.8677; 4.2200
2006-01-04-15; 0.8491; 4.1580
2006-01-04-16; 0.8492; 4.1925
2006-01-04-17; 0.8379; 3.9688
2006-01-04-18; 0.8183; 3.8186
2006-01-04-19; 0.7848; 3.8000
2006-01-04-20; 0.7480; 3.7818
2006-01-04-21; 0.7021; 3.8630
2006-01-04-22; 0.6821; 3.9085
2006-01-04-23; 0.6495; 4.0937
2006-01-05-00; 0.6145; 4.2690
2006-01-05-01; 0.5695; 4.5388
2006-01-05-02; 0.5965; 4.5880
2006-01-05-03; 0.6323; 4.9046
2006-01-05-04; 0.5672; 5.0846
2006-01-05-05; 0.5272; 5.0037
2006-01-05-06; 0.5694; 5.2614
2006-01-05-07; 0.6085; 5.5638
2006-01-05-08; 0.6180; 5.3980
2006-01-05-09; 0.6959; 4.9472
2006-01-05-10; 0.7206; 4.3565
2006-01-05-11; 0.8187; 4.2356
2006-01-05-12; 0.8357; 4.4254
2006-01-05-13; 0.8348; 4.1213
2006-01-05-14; 0.8553; 4.5880
2006-01-05-15; 0.7935; 4.7943
2006-01-05-16; 0.7690; 5.1516
2006-01-05-17; 0.7595; 5.5619
2006-01-05-18; 0.7224; 5.5658
2006-01-05-19; 0.7080; 5.1805
2006-01-05-20; 0.7066; 5.5096
2006-01-05-21; 0.6956; 5.4775
2006-01-05-22; 0.7279; 6.0516
2006-01-05-23; 0.7025; 5.3226
2006-01-06-00; 0.7527; 4.9222
2006-01-06-01; 0.7919; 4.5562
2006-01-06-02; 0.9108; 4.2952
2006-01-06-03; 1.0143; 4.2463
2006-01-06-04; 1.1132; 4.3114
2006-01-06-05; 1.1353; 4.1177
2006-01-06-06; 1.1708; 4.0040
2006-01-06-07; 1.1852; 4.0981
2006-01-06-08; 1.1972; 3.9093
2006-01-06-09; 1.2721; 3.7283
2006-01-06-10; 1.4484; 3.7926
2006-01-06-11; 1.4847; 3.8552
2006-01-06-12; 1.6776; 4.2034
2006-01-06-13; 1.5903; 4.0340
2006-01-06-14; 1.6780; 4.2895
2006-01-06-15; 1.5873; 4.2537
2006-01-06-16; 1.5548; 4.3219
2006-01-06-17; 1.5816; 4.3195
2006-01-06-18; 1.5704; 4.3660
2006-01-06-19; 1.5426; 4.2915
2006-01-06-20; 1.4972; 4.3387
2006-01-06-21; 1.3821; 4.1033
2006-01-06-22; 1.3594; 4.1062
2006-01-06-23; 1.3510; 4.2037
2006-01-07-00; 1.3291; 4.2099
2006-01-07-01; 1.3128; 4.2287
2006-01-07-02; 1.2772; 4.0750
2006-01-07-03; 1.2649; 4.1949
2006-01-07-04; 1.2692; 4.1674
2006-01-07-05; 1.3559; 4.1363
2006-01-07-06; 1.3791; 4.2466
2006-01-07-07; 1.3260; 4.1155
2006-01-07-08; 1.4690; 4.1479
2006-01-07-09; 1.7128; 4.2775
2006-01-07-10; 1.7268; 4.4806
2006-01-07-11; 1.6660; 4.5473
2006-01-07-12; 1.5860; 4.5058
2006-01-07-13; 1.6287; 4.4177
2006-01-07-14; 1.5834; 4.3961
2006-01-07-15; 1.5713; 4.4035
2006-01-07-16; 1.5739; 4.4777
2006-01-07-17; 1.4896; 4.5758
2006-01-07-18; 1.5507; 4.7654
2006-01-07-19; 1.5352; 4.8703
2006-01-07-20; 1.5784; 5.2009
2006-01-07-21; 1.5700; 5.3699
2006-01-07-22; 1.5073; 5.4094
2006-01-07-23; 1.6665; 5.8094
2006-01-08-00; 1.5463; 5.4033
2006-01-08-01; 1.4267; 5.0287
2006-01-08-02; 1.4393; 4.8387
2006-01-08-03; 1.4398; 4.9846
2006-01-08-04; 1.3720; 5.1211
2006-01-08-05; 1.2742; 5.0389
2006-01-08-06; 1.2260; 5.0779
2006-01-08-07; 1.1513; 5.0970
2006-01-08-08; 1.1099; 5.1099
2006-01-08-09; 1.0811; 5.2065
2006-01-08-10; 1.1031; 5.3619
2006-01-08-11; 1.0670; 5.2827
2006-01-08-12; 0.9423; 5.1235
2006-01-08-13; 0.9940; 5.3516
2006-01-08-14; 0.9207; 5.3772
2006-01-08-15; 1.0063; 5.8440
2006-01-08-16; 0.9544; 5.7726
2006-01-08-17; 0.9330; 6.0243
2006-01-08-18; 0.9171; 5.9632
2006-01-08-19; 0.8529; 5.8846
2006-01-08-20; 0.8400; 6.2717
2006-01-08-21; 0.7871; 6.1416
2006-01-08-22; 0.7518; 6.1067
2006-01-08-23; 0.7807; 6.3671
2006-01-09-00; 0.7306; 6.3262
2006-01-09-01; 0.7241; 6.2186
2006-01-09-02; 0.6876; 6.2766
2006-01-09-03; 0.6685; 6.5499
2006-01-09-04; 0.6136; 6.3796
2006-01-09-05; 0.5914; 6.4372
2006-01-09-06; 0.6297; 6.9471
2006-01-09-07; 0.5120; 6.6997
2006-01-09-08; 0.5335; 7.1454
2006-01-09-09; 0.5148; 7.2654
2006-01-09-10; 0.5311; 7.3049
2006-01-09-11; 0.4983; 7.0968
2006-01-09-12; 0.5539; 7.4567
2006-01-09-13; 0.5115; 6.7135
2006-01-09-14; 0.5241; 6.0748
2006-01-09-15; 0.5276; 6.2294
2006-01-09-16; 0.5198; 5.9856
2006-01-09-17; 0.5436; 5.8774
2006-01-09-18; 0.6078; 5.4639
2006-01-09-19; 0.5664; 5.4815
2006-01-09-20; 0.5585; 5.1691
2006-01-09-21; 0.5493; 4.8896
2006-01-09-22; 0.5289; 4.8578
2006-01-09-23; 0.5099; 4.8826
2006-01-10-00; 0.5945; 5.1694
2006-01-10-01; 0.5661; 4.6127
2006-01-10-02; 0.5593; 4.7125
2006-01-10-03; 0.5525; 4.2586
2006-01-10-04; 0.6709; 3.7114
2006-01-10-05; 0.7238; 3.5271
2006-01-10-06; 0.7675; 3.4837
2006-01-10-07; 0.8266; 3.5361
2006-01-10-08; 0.8379; 3.4938
2006-01-10-09; 0.8620; 3.7081
2006-01-10-10; 0.8748; 3.8841
2006-01-10-11; 0.8261; 4.0224
2006-01-10-12; 0.8070; 3.9628
2006-01-10-13; 0.8974; 3.9526
2006-01-10-14; 1.0264; 3.9205
2006-01-10-15; 1.1443; 4.0210
2006-01-10-16; 1.2337; 4.1837
2006-01-10-17; 1.3168; 4.2855
2006-01-10-18; 1.5945; 4.4863
2006-01-10-19; 1.8564; 4.7515
2006-01-10-20; 1.8495; 4.7034
2006-01-10-21; 1.5496; 4.4406
2006-01-10-22; 1.5830; 4.5525
2006-01-10-23; 1.6968; 4.6819
2006-01-11-00; 1.5922; 4.5716
2006-01-11-01; 1.6355; 4.6422
2006-01-11-02; 1.5918; 4.5679
2006-01-11-03; 1.8365; 4.7343
2006-01-11-04; 1.7550; 4.6788
2006-01-11-05; 1.8245; 4.7289
2006-01-11-06; 1.9033; 4.8259
2006-01-11-07; 1.9935; 4.9793
2006-01-11-08; 1.9254; 4.8815
2006-01-11-09; 1.7003; 4.8335
2006-01-11-10; 1.5166; 4.9026
2006-01-11-11; 1.6446; 5.3127
2006-01-11-12; 1.6122; 5.3016
2006-01-11-13; 1.6500; 5.3635
2006-01-11-14; 1.5716; 5.5231
2006-01-11-15; 1.4904; 5.4181
2006-01-11-16; 1.4354; 5.4708
2006-01-11-17; 1.3154; 5.3953
2006-01-11-18; 1.3200; 5.6126
2006-01-11-19; 1.3060; 5.5586
2006-01-11-20; 1.2852; 5.6256
2006-01-11-21; 1.3561; 5.6419
2006-01-11-22; 1.3872; 5.9750
2006-01-11-23; 1.3758; 5.9728
2006-01-12-00; 1.4635; 6.1636
2006-01-12-01; 1.3861; 6.1237
2006-01-12-02; 1.4275; 6.2827
2006-01-12-03; 1.3955; 6.2543
2006-01-12-04; 1.2536; 6.1728
2006-01-12-05; 1.3241; 6.4656
2006-01-12-06; 1.3425; 6.5059
2006-01-12-07; 1.3498; 6.5652
2006-01-12-08; 1.4011; 6.6422
2006-01-12-09; 1.3199; 6.5564
2006-01-12-10; 1.3467; 6.8496
2006-01-12-11; 1.3655; 7.1343
2006-01-12-12; 1.3003; 7.2372
2006-01-12-13; 1.2614; 7.3784
2006-01-12-14; 1.3848; 7.4871
2006-01-12-15; 1.5396; 7.5491
2006-01-12-16; 1.4545; 7.2072
2006-01-12-17; 1.4748; 7.1522
2006-01-12-18; 1.4871; 7.1040
2006-01-12-19; 1.3451; 6.6720
2006-01-12-20; 1.4181; 6.9091
2006-01-12-21; 1.3827; 6.9970
2006-01-12-22; 1.3062; 6.9239
2006-01-12-23; 1.1494; 6.7128
2006-01-13-00; 1.0702; 6.6823
2006-01-13-01; 1.0891; 6.4260
2006-01-13-02; 1.0694; 6.2073
2006-01-13-03; 1.0511; 6.2128
2006-01-13-04; 1.0670; 6.1301
2006-01-13-05; 1.0839; 5.7561
2006-01-13-06; 1.1928; 5.4737
2006-01-13-07; 1.2050; 5.4686
2006-01-13-08; 1.1768; 5.7315
2006-01-13-09; 1.2088; 5.6264
2006-01-13-10; 1.2885; 5.9981
2006-01-13-11; 1.1319; 5.8968
2006-01-13-12; 1.1692; 6.2448
2006-01-13-13; 1.2387; 6.4219
2006-01-13-14; 1.0458; 6.3369
2006-01-13-15; 1.0688; 6.2758
2006-01-13-16; 1.0687; 6.4906
2006-01-13-17; 1.1218; 6.6248
2006-01-13-18; 1.1029; 6.9657
2006-01-13-19; 1.1936; 7.1869
2006-01-13-20; 1.1686; 6.7268
2006-01-13-21; 1.0904; 6.2094
2006-01-13-22; 1.2490; 6.1752
2006-01-13-23; 1.2122; 6.0974
2006-01-14-00; 1.2401; 5.7671
2006-01-14-01; 1.1554; 5.3111
2006-01-14-02; 1.1345; 5.2256
2006-01-14-03; 1.1254; 5.2385
2006-01-14-04; 1.1392; 4.7145
2006-01-14-05; 1.1700; 4.1336
2006-01-14-06; 1.2487; 3.9273
2006-01-14-07; 1.3129; 3.9693
2006-01-14-08; 1.4712; 3.8706
2006-01-14-09; 1.9354; 4.2851
2006-01-14-10; 2.4163; 4.8323
2006-01-14-11; 2.4714; 4.9979
2006-01-14-12; 2.4572; 4.9807
2006-01-14-13; 2.4766; 4.9494
2006-01-14-14; 2.6553; 5.2094
2006-01-14-15; 2.7304; 5.2166
2006-01-14-16; 2.6513; 5.1571
2006-01-14-17; 2.4003; 4.9269
2006-01-14-18; 2.4460; 4.8698
2006-01-14-19; 2.5157; 4.8803
2006-01-14-20; 2.7224; 5.0601
2006-01-14-21; 2.8300; 5.2512
2006-01-14-22; 2.7477; 5.2006
2006-01-14-23; 2.6043; 5.1699
2006-01-15-00; 2.4149; 5.0536
2006-01-15-01; 2.4990; 5.0245
2006-01-15-02; 2.6279; 5.1347
2006-01-15-03; 2.8367; 5.2382
2006-01-15-04; 2.7614; 5.3375
2006-01-15-05; 3.0801; 5.4880
2006-01-15-06; 3.0674; 5.4717
2006-01-15-07; 3.2379; 5.7445
2006-01-15-08; 2.9379; 5.5212
2006-01-15-09; 2.8843; 5.5054
2006-01-15-10; 2.6066; 5.4228
2006-01-15-11; 2.5166; 5.3869
2006-01-15-12; 2.5680; 5.5508
2006-01-15-13; 2.3909; 5.3968
2006-01-15-14; 2.3463; 5.5004
2006-01-15-15; 2.2354; 5.5438
2006-01-15-16; 2.2762; 5.7836
2006-01-15-17; 2.2804; 6.1546
2006-01-15-18; 2.2529; 6.1206
2006-01-15-19; 2.3376; 6.3215
2006-01-15-20; 2.3183; 6.6057
2006-01-15-21; 2.2951; 6.8078
2006-01-15-22; 2.1463; 6.8869
2006-01-15-23; 2.0191; 6.9580
2006-01-16-00; 2.0887; 7.3406
2006-01-16-01; 1.9654; 7.2276
2006-01-16-02; 1.9246; 7.1633
2006-01-16-03; 1.8022; 7.1937
2006-01-16-04; 1.5382; 6.7143
2006-01-16-05; 1.5885; 6.8813
2006-01-16-06; 1.4968; 6.7298
2006-01-16-07; 1.6029; 6.9332
2006-01-16-08; 1.4158; 6.7731
2006-01-16-09; 1.4024; 6.7664
2006-01-16-10; 1.1815; 6.5829
2006-01-16-11; 1.0870; 6.5314
2006-01-16-12; 1.1103; 6.6995
2006-01-16-13; 1.1259; 6.5912
2006-01-16-14; 0.9530; 5.4009
2006-01-16-15; 1.1029; 5.5509
2006-01-16-16; 1.1043; 5.6357
2006-01-16-17; 1.0650; 4.9982
2006-01-16-18; 1.0837; 5.1031
2006-01-16-19; 1.0653; 4.8511
2006-01-16-20; 1.0246; 4.6400
2006-01-16-21; 1.0017; 4.5589
2006-01-16-22; 1.0736; 4.5003
2006-01-16-23; 1.1534; 4.5787
2006-01-17-00; 1.1795; 4.5065
2006-01-17-01; 1.0666; 4.2257
2006-01-17-02; 1.2730; 4.2413
2006-01-17-03; 1.2047; 4.1703
2006-01-17-04; 1.3756; 4.4861
2006-01-17-05; 1.4243; 4.5909
2006-01-17-06; 1.4658; 4.6388
2006-01-17-07; 1.4879; 4.7751
2006-01-17-08; 1.5145; 4.8421
2006-01-17-09; 1.3696; 4.6639
2006-01-17-10; 1.2620; 4.6784
2006-01-17-11; 1.1259; 4.4441
2006-01-17-12; 1.3405; 4.3414
2006-01-17-13; 1.5399; 4.5296
2006-01-17-14; 1.6585; 4.5564
2006-01-17-15; 1.8751; 4.6927
2006-01-17-16; 1.9126; 4.7950
2006-01-17-17; 1.8961; 4.8084
2006-01-17-18; 2.1075; 4.9210
2006-01-17-19; 2.2773; 5.1030
2006-01-17-20; 2.3265; 5.0836
2006-01-17-21; 2.4342; 5.2133
2006-01-17-22; 2.4911; 5.2657
2006-01-17-23; 2.7533; 5.4155
2006-01-18-00; 2.8469; 5.4328
2006-01-18-01; 2.5963; 5.1665
2006-01-18-02; 2.2993; 4.9766
2006-01-18-03; 1.9868; 4.6738
2006-01-18-04; 2.0772; 4.7160
2006-01-18-05; 2.0580; 4.7218
2006-01-18-06; 1.9667; 4.5872
2006-01-18-07; 1.9414; 4.5118
2006-01-18-08; 1.9289; 4.5339
2006-01-18-09; 1.6975; 4.2849
2006-01-18-10; 1.7014; 4.1564
2006-01-18-11; 1.6418; 4.2341
2006-01-18-12; 1.6742; 4.3165
2006-01-18-13; 1.7716; 4.4433
2006-01-18-14; 2.0195; 4.7555
2006-01-18-15; 1.9672; 4.7735
2006-01-18-16; 2.0221; 4.9640
2006-01-18-17; 1.9037; 4.9763
2006-01-18-18; 1.8031; 4.7740
2006-01-18-19; 1.9412; 4.8462
2006-01-18-20; 1.9672; 4.8788
2006-01-18-21; 1.7986; 4.7695
2006-01-18-22; 1.6442; 4.7859
2006-01-18-23; 1.5210; 4.7397
2006-01-19-00; 1.4524; 4.7457
2006-01-19-01; 1.3247; 4.6751
2006-01-19-02; 1.3756; 4.9567
2006-01-19-03; 1.2960; 4.8125
2006-01-19-04; 1.3095; 5.0888
2006-01-19-05; 1.3711; 5.2501
2006-01-19-06; 1.4356; 5.2725
2006-01-19-07; 1.4155; 5.2689
2006-01-19-08; 1.3273; 5.0284
2006-01-19-09; 1.3635; 4.8134
2006-01-19-10; 1.3466; 4.7550
2006-01-19-11; 1.3201; 4.5951
2006-01-19-12; 1.3003; 4.3741
2006-01-19-13; 1.3434; 4.5388
2006-01-19-14; 1.4152; 4.6002
2006-01-19-15; 1.4294; 4.7269
2006-01-19-16; 1.4378; 4.6923
2006-01-19-17; 1.4445; 4.8330
2006-01-19-18; 1.4389; 4.9729
2006-01-19-19; 1.3659; 4.8919
2006-01-19-20; 1.4686; 5.1152
2006-01-19-21; 1.3099; 4.9178
2006-01-19-22; 1.3742; 4.9170
2006-01-19-23; 1.3662; 4.9171
2006-01-20-00; 1.3480; 4.8367
2006-01-20-01; 1.3552; 4.7833
2006-01-20-02; 1.4359; 4.7104
2006-01-20-03; 1.3250; 4.6994
2006-01-20-04; 1.3819; 4.7457
2006-01-20-05; 1.3941; 4.7246
2006-01-20-06; 1.4826; 4.7499
2006-01-20-07; 1.3407; 4.7723
2006-01-20-08; 1.3420; 4.9247
2006-01-20-09; 1.3275; 5.0606
2006-01-20-10; 1.2765; 5.0416
2006-01-20-11; 1.3167; 5.0975
2006-01-20-12; 1.3503; 4.9267
2006-01-20-13; 1.2734; 4.8071
2006-01-20-14; 1.4331; 4.9093
2006-01-20-15; 1.4176; 4.8619
2006-01-20-16; 1.4259; 4.8293
2006-01-20-17; 1.4996; 4.9928
2006-01-20-18; 1.5078; 4.8546
2006-01-20-19; 1.6092; 5.0198
2006-01-20-20; 1.5852; 4.9636
2006-01-20-21; 1.6031; 4.9350
2006-01-20-22; 1.6488; 4.9362
2006-01-20-23; 1.6380; 4.9082
2006-01-21-00; 1.6932; 4.8515
2006-01-21-01; 1.8378; 4.7586
2006-01-21-02; 1.8799; 4.7628
2006-01-21-03; 1.8587; 4.6055
2006-01-21-04; 1.8117; 4.6597
2006-01-21-05; 1.7535; 4.7437
2006-01-21-06; 1.7950; 4.6852
2006-01-21-07; 1.7793; 4.8834
2006-01-21-08; 1.7735; 4.7671
2006-01-21-09; 1.6970; 4.7607
2006-01-21-10; 1.8204; 4.9394
2006-01-21-11; 1.6589; 4.8940
2006-01-21-12; 1.5455; 4.7558
2006-01-21-13; 1.4938; 4.8143
2006-01-21-14; 1.4792; 4.7355
2006-01-21-15; 1.3815; 4.6217
2006-01-21-16; 1.3504; 4.5850
2006-01-21-17; 1.3111; 4.8191
2006-01-21-18; 1.3424; 5.0934
2006-01-21-19; 1.2872; 5.0282
2006-01-21-20; 1.2861; 5.3288
2006-01-21-21; 1.2606; 5.5209
2006-01-21-22; 1.2672; 5.5212
2006-01-21-23; 1.2184; 5.5255
2006-01-22-00; 1.2743; 5.7231
2006-01-22-01; 1.2104; 5.5964
2006-01-22-02; 1.3288; 5.7858
2006-01-22-03; 1.3212; 5.3135
2006-01-22-04; 1.3868; 5.1912
2006-01-22-05; 1.3091; 5.1183
2006-01-22-06; 1.3835; 5.2883
2006-01-22-07; 1.4555; 5.3662
2006-01-22-08; 1.3986; 5.2305
2006-01-22-09; 1.4929; 5.2529
2006-01-22-10; 1.5636; 5.0714
2006-01-22-11; 1.5508; 4.9569
2006-01-22-12; 1.5828; 4.9586
2006-01-22-13; 1.5962; 4.9794
2006-01-22-14; 1.6300; 4.9234
2006-01-22-15; 1.5383; 4.6790
2006-01-22-16; 1.5186; 4.7824
2006-01-22-17; 1.5116; 4.9079
2006-01-22-18; 1.5360; 5.1337
2006-01-22-19; 1.6438; 5.2519
2006-01-22-20; 1.6939; 5.2247
2006-01-22-21; 1.7676; 5.3497
2006-01-22-22; 1.8508; 5.4084
2006-01-22-23; 1.7942; 5.2452
2006-01-23-00; 1.7850; 5.1923
2006-01-23-01; 1.7970; 5.1176
2006-01-23-02; 1.8473; 5.0554
2006-01-23-03; 1.8520; 5.0957
2006-01-23-04; 1.8316; 5.1735
2006-01-23-05; 1.7653; 5.1114
2006-01-23-06; 1.8296; 5.0674
2006-01-23-07; 1.8074; 5.2352
2006-01-23-08; 1.8993; 5.3197
2006-01-23-09; 1.9800; 5.4300
2006-01-23-10; 2.0104; 5.4102
2006-01-23-11; 2.0400; 5.4730
2006-01-23-12; 2.0890; 5.5305
2006-01-23-13; 2.0083; 5.2434
2006-01-23-14; 1.9998; 5.2610
2006-01-23-15; 1.9856; 5.2658
2006-01-23-16; 1.9007; 5.3457
2006-01-23-17; 1.8534; 5.2104
2006-01-23-18; 1.9040; 5.4407
2006-01-23-19; 1.6854; 5.4548
2006-01-23-20; 1.7404; 5.5868
2006-01-23-21; 1.7096; 5.4962
2006-01-23-22; 1.7345; 5.6110
2006-01-23-23; 1.6808; 5.5858
2006-01-24-00; 1.7334; 5.7979
2006-01-24-01; 1.6788; 5.6057
2006-01-24-02; 1.6249; 5.5621
2006-01-24-03; 1.6178; 5.5712
2006-01-24-04; 1.5710; 5.4941
2006-01-24-05; 1.5866; 5.5997
2006-01-24-06; 1.4361; 5.3558
2006-01-24-07; 1.5673; 5.9046
2006-01-24-08; 1.4451; 5.7475
2006-01-24-09; 1.4578; 6.1132
2006-01-24-10; 1.4745; 6.0684
2006-01-24-11; 1.5451; 6.4112
2006-01-24-12; 1.4746; 6.3922
2006-01-24-13; 1.3483; 6.1167
2006-01-24-14; 1.2944; 6.3133
2006-01-24-15; 1.2816; 6.5132
2006-01-24-16; 1.2108; 6.2800
2006-01-24-17; 1.3498; 6.7197
2006-01-24-18; 1.1173; 6.5173
2006-01-24-19; 1.1019; 6.8889
2006-01-24-20; 1.1415; 7.2697
2006-01-24-21; 1.1683; 7.7191
2006-01-24-22; 1.1575; 7.8126
2006-01-24-23; 1.1284; 7.8761
2006-01-25-00; 1.1134; 8.2573
2006-01-25-01; 1.1868; 8.4493
2006-01-25-02; 1.0775; 7.6723
2006-01-25-03; 1.0590; 6.1421
2006-01-25-04; 1.1545; 5.7731
2006-01-25-05; 1.2903; 5.0651
2006-01-25-06; 1.2821; 5.1310
2006-01-25-07; 1.2859; 4.9025
2006-01-25-08; 1.3765; 4.9828
2006-01-25-09; 1.3498; 4.6528
2006-01-25-10; 1.4636; 4.8049
2006-01-25-11; 1.5970; 4.8522
2006-01-25-12; 1.7295; 4.7801
2006-01-25-13; 1.9140; 5.1041
2006-01-25-14; 1.9053; 5.0026
2006-01-25-15; 2.0346; 5.1443
2006-01-25-16; 2.2279; 5.3116
2006-01-25-17; 2.2040; 5.1897
2006-01-25-18; 2.2517; 5.4206
2006-01-25-19; 2.2662; 5.5617
2006-01-25-20; 2.2490; 5.7020
2006-01-25-21; 2.0458; 5.6902
2006-01-25-22; 1.8916; 5.6684
2006-01-25-23; 1.9262; 5.8171
2006-01-26-00; 1.8458; 5.8566
2006-01-26-01; 1.8764; 5.6291
2006-01-26-02; 1.9140; 5.4004
2006-01-26-03; 1.9963; 5.3924
2006-01-26-04; 1.8943; 5.1556
2006-01-26-05; 1.9942; 5.1588
2006-01-26-06; 2.1003; 5.2661
2006-01-26-07; 2.2106; 5.4670
2006-01-26-08; 2.1436; 5.3928
2006-01-26-09; 2.0521; 5.2557
2006-01-26-10; 2.1314; 5.4221
2006-01-26-11; 2.0368; 5.2622
2006-01-26-12; 2.0551; 5.3452
2006-01-26-13; 1.9362; 5.3200
2006-01-26-14; 1.7749; 5.1461
2006-01-26-15; 1.8079; 5.2259
2006-01-26-16; 1.5956; 5.0697
2006-01-26-17; 1.6385; 5.0995
2006-01-26-18; 1.6461; 5.2454
2006-01-26-19; 1.5475; 5.3062
2006-01-26-20; 1.6473; 5.5618
2006-01-26-21; 1.6364; 5.7779
2006-01-26-22; 1.6513; 5.6993
2006-01-26-23; 1.6839; 5.5955
2006-01-27-00; 1.6127; 5.4524
2006-01-27-01; 1.6220; 5.5466
2006-01-27-02; 1.6866; 5.5751
2006-01-27-03; 1.7634; 5.4383
2006-01-27-04; 1.7625; 5.2985
2006-01-27-05; 1.7503; 5.2279
2006-01-27-06; 1.7546; 5.3111
2006-01-27-07; 1.7325; 5.2004
2006-01-27-08; 1.7910; 5.1921
2006-01-27-09; 1.7814; 5.2072
2006-01-27-10; 1.7654; 5.2063
2006-01-27-11; 1.7361; 5.1812
2006-01-27-12; 1.9039; 5.2880
2006-01-27-13; 1.9198; 5.3266
2006-01-27-14; 1.9076; 5.2483
2006-01-27-15; 2.1230; 5.6486
2006-01-27-16; 2.1193; 5.4980
2006-01-27-17; 2.0496; 5.4413
2006-01-27-18; 2.0372; 5.5421
2006-01-27-19; 2.0506; 5.5702
2006-01-27-20; 1.9768; 5.6163
2006-01-27-21; 1.9548; 5.5356
2006-01-27-22; 1.8218; 5.3293
2006-01-27-23; 1.8703; 5.4521
2006-01-28-00; 1.7730; 5.3597
2006-01-28-01; 1.8940; 5.3986
2006-01-28-02; 1.8219; 5.3988
2006-01-28-03; 1.8040; 5.3975
2006-01-28-04; 1.8261; 5.5146
2006-01-28-05; 1.8655; 5.2120
2006-01-28-06; 1.9875; 5.3262
2006-01-28-07; 1.9470; 5.4563
2006-01-28-08; 1.8628; 5.3108
2006-01-28-09; 1.7773; 5.3490
2006-01-28-10; 1.7774; 5.2305
2006-01-28-11; 1.8575; 5.2592
2006-01-28-12; 1.8977; 5.4917
2006-01-28-13; 1.8999; 5.2553
2006-01-28-14; 1.9884; 5.4195
