significant wave height [m];wind speed [m/s]
0.42201;0.063748
0.39144;0.063762
0.36236;0.063781
0.33478;0.063806
0.3088;0.063836
0.28456;0.063873
0.26331;0.063917
0.24505;0.06397
0.2292;0.064033
0.21527;0.064106
0.20324;0.064192
0.19305;0.064293
0.18386;0.064412
0.17452;0.064551
0.16511;0.064714
0.1557;0.064906
0.14634;0.065132
0.13708;0.065399
0.12796;0.065716
0.11899;0.066091
0.11018;0.066537
0.10154;0.067069
0.093168;0.067705
0.085888;0.068467
0.07959;0.069383
0.074164;0.070485
0.069511;0.071815
0.065535;0.073424
0.062153;0.075375
0.059284;0.077744
0.056936;0.080628
0.055049;0.084143
0.053556;0.088434
0.052396;0.093674
0.051518;0.10008
0.050877;0.10789
0.050434;0.1174
0.050159;0.12893
0.050022;0.14278
0.05;0.15918
0.05;0.1781
0.05;0.19918
0.05;0.2224
0.05;0.24775
0.05;0.27513
0.05;0.3044
0.05;0.33559
0.05;0.36911
0.05;0.40503
0.05;0.44347
0.05;0.48487
0.05;0.53002
0.05;0.57929
0.05;0.63324
0.05;0.69256
0.05;0.75781
0.05;0.82937
0.05;0.9069
0.05;0.98994
0.05;1.0787
0.05;1.1735
0.05;1.2748
0.05;1.3829
0.05;1.4981
0.05;1.6206
0.05;1.7509
0.05;1.889
0.05;2.036
0.05;2.1934
0.05;2.3611
0.05;2.5391
0.05;2.7271
0.05;2.9257
0.05;3.1356
0.05;3.3572
0.050006;3.5909
0.050061;3.8376
0.050117;4.098
0.050262;4.3714
0.050441;4.6589
0.0507;4.9616
0.051062;5.2809
0.051459;5.6165
0.051939;5.9667
0.052462;6.3308
0.053168;6.7072
0.053926;7.0924
0.055065;7.4828
0.056404;7.8762
0.057896;8.2712
0.05935;8.6663
0.062735;9.0602
0.069465;9.452
0.077413;9.8415
0.087504;10.228
0.095751;10.611
0.10562;10.993
0.11956;11.376
0.13374;11.761
0.15139;12.148
0.16987;12.536
0.19568;12.926
0.21674;13.316
0.28311;13.706
0.3652;14.097
0.44935;14.486
0.54038;14.873
0.63346;15.258
0.73418;15.64
0.83933;16.02
0.94861;16.397
1.0476;16.768
1.1563;17.133
1.2232;17.493
1.2756;17.85
1.3273;18.205
1.3872;18.557
1.4396;18.908
1.4909;19.255
1.557;19.599
1.6203;19.941
1.6919;20.28
1.7621;20.616
1.8427;20.948
1.9313;21.275
2.0227;21.597
2.1074;21.913
2.1995;22.225
2.2971;22.532
2.3767;22.835
2.4729;23.136
2.5492;23.433
2.6388;23.73
2.7087;24.026
2.756;24.32
2.7904;24.612
2.8163;24.903
2.8465;25.191
2.8801;25.473
2.919;25.751
2.9515;26.022
3.0073;26.285
3.0525;26.542
3.1054;26.79
3.1854;27.03
3.2838;27.26
3.4112;27.48
3.6234;27.691
3.842;27.893
4.0728;28.088
4.3093;28.276
4.5689;28.456
4.8354;28.629
5.1008;28.797
5.3686;28.959
5.6311;29.116
5.8707;29.269
6.0354;29.417
6.2027;29.561
6.3814;29.698
6.5549;29.829
6.7024;29.953
6.8505;30.071
7.0035;30.18
7.1456;30.28
7.2918;30.37
7.4369;30.453
7.5708;30.529
7.6895;30.596
7.7825;30.656
7.8686;30.708
7.9571;30.753
8.0431;30.791
8.1375;30.823
9.3015;30.823
