significant wave height [m];wind speed [m/s]
3.1063;0.085365
2.9757;0.085213
2.8243;0.085083
2.6535;0.084974
2.4783;0.08488
2.2977;0.0848
2.1194;0.084733
1.9459;0.084675
1.7783;0.084625
1.6152;0.084583
1.4552;0.084548
1.3104;0.084518
1.1928;0.084493
1.1022;0.084472
1.0279;0.084456
0.96829;0.084443
0.91595;0.084434
0.8703;0.084428
0.82971;0.084425
0.79381;0.084425
0.76287;0.084428
0.73403;0.084434
0.70745;0.084443
0.68289;0.084456
0.66005;0.084472
0.63902;0.084493
0.61936;0.084518
0.60027;0.084548
0.58186;0.084583
0.56423;0.084625
0.54717;0.084675
0.53049;0.084733
0.51373;0.0848
0.49663;0.08488
0.47932;0.084974
0.4619;0.085083
0.44477;0.085213
0.42851;0.085365
0.41305;0.085544
0.39775;0.085757
0.38267;0.086009
0.36785;0.086309
0.35383;0.086666
0.34094;0.087093
0.32908;0.087604
0.31815;0.088218
0.30807;0.088956
0.29876;0.089847
0.29018;0.090924
0.28289;0.092227
0.27665;0.093809
0.27131;0.095732
0.26672;0.098072
0.26171;0.10093
0.25479;0.10441
0.24656;0.10866
0.23745;0.11385
0.22777;0.12018
0.21774;0.1279
0.20752;0.13726
0.19724;0.14855
0.187;0.16201
0.17644;0.17777
0.16436;0.19569
0.15367;0.21548
0.14396;0.23722
0.13488;0.26088
0.12615;0.28638
0.11762;0.31357
0.10915;0.34237
0.10068;0.37304
0.092179;0.40562
0.083997;0.44018
0.078427;0.47716
0.073841;0.51729
0.069907;0.56087
0.066552;0.60822
0.063732;0.65983
0.06141;0.71617
0.059505;0.77763
0.057945;0.84439
0.056681;0.91682
0.055697;0.99545
0.054963;1.0808
0.054328;1.1734
0.053922;1.2737
0.053713;1.3822
0.053753;1.4994
0.053933;1.6256
0.054046;1.7615
0.054183;1.9075
0.054632;2.0642
0.055539;2.2323
0.056695;2.4122
0.059938;2.6049
0.069708;2.8109
0.079601;3.0312
0.08958;3.2668
0.10094;3.5185
0.12046;3.787
0.14004;4.0726
0.15941;4.3758
0.17896;4.6964
0.20593;5.0346
0.23252;5.3896
0.2529;5.7606
0.27432;6.1461
0.30224;6.5446
0.33119;6.9544
0.35714;7.3735
0.38759;7.7998
0.42055;8.2317
0.46013;8.6678
0.49465;9.1065
0.53562;9.5468
0.57878;9.9877
0.62774;10.429
0.67637;10.869
0.72625;11.309
0.77583;11.747
0.82584;12.184
0.88313;12.621
0.9427;13.055
1.0007;13.488
1.0579;13.917
1.1238;14.342
1.1902;14.763
1.2584;15.179
1.3315;15.59
1.4033;15.996
1.4831;16.396
1.5553;16.791
1.6318;17.18
1.7211;17.564
1.8105;17.945
1.8949;18.323
1.9866;18.697
2.0741;19.069
2.1712;19.438
2.2815;19.804
2.3925;20.166
2.5166;20.523
2.6366;20.877
2.7386;21.225
2.862;21.566
3.0298;21.899
3.1847;22.225
3.3455;22.543
3.4835;22.854
3.6645;23.159
3.856;23.458
4.0552;23.751
4.2675;24.039
4.5078;24.322
4.747;24.602
4.9392;24.879
5.1671;25.151
5.4439;25.419
5.7376;25.68
5.9573;25.932
6.1649;26.175
6.3748;26.409
6.576;26.632
6.7847;26.845
7.0089;27.045
7.2598;27.233
7.5153;27.407
7.7266;27.57
7.9459;27.723
8.1967;27.865
8.4576;27.999
8.7102;28.123
8.9709;28.24
9.2186;28.35
9.4432;28.453
9.6662;28.55
9.8627;28.64
10.06;28.726
10.253;28.806
10.446;28.881
10.636;28.952
10.827;29.018
11.027;29.079
11.253;29.136
11.486;29.189
11.713;29.238
11.948;29.283
12.188;29.324
12.428;29.362
12.669;29.396
12.915;29.426
13.166;29.452
13.411;29.476
13.63;29.495
13.841;29.511
15.547;29.511
