significant wave height [m];zero-upcrossing period [s]
1.8391;4.001
1.8745;4.0369
1.9103;4.073
1.9461;4.1089
1.9816;4.1443
2.0166;4.1791
2.0508;4.2128
2.0837;4.2451
2.1157;4.2764
2.1462;4.306
2.1751;4.3339
2.2033;4.3611
2.2302;4.3869
2.2561;4.4117
2.2815;4.4361
2.3064;4.4599
2.4014;4.5509
