significant wave height [m];wind speed [m/s]
0.43843;0.088707
0.40992;0.088729
0.38156;0.088758
0.35402;0.088795
0.32739;0.088842
0.30172;0.088899
0.27704;0.088967
0.25582;0.089048
0.23829;0.089144
0.22398;0.089256
0.21257;0.089389
0.20397;0.089544
0.19661;0.089725
0.18988;0.089939
0.18375;0.090189
0.17821;0.090484
0.17322;0.090832
0.16875;0.091242
0.16477;0.091728
0.16038;0.092304
0.15513;0.09299
0.14916;0.093808
0.14255;0.094786
0.13527;0.095957
0.12744;0.097365
0.11919;0.099061
0.11062;0.10111
0.1018;0.10358
0.092798;0.10659
0.084535;0.11023
0.077467;0.11466
0.07144;0.12005
0.066377;0.1266
0.062291;0.13456
0.059024;0.14418
0.056475;0.15575
0.054526;0.16946
0.053061;0.1854
0.051984;0.20324
0.051212;0.22281
0.050678;0.24416
0.05033;0.2673
0.050122;0.29212
0.050021;0.31844
0.05;0.34612
0.05;0.37528
0.05;0.40602
0.05;0.43845
0.05;0.47302
0.05;0.51025
0.05;0.55046
0.05;0.59387
0.05;0.64088
0.05;0.69214
0.05;0.74813
0.05;0.80904
0.05;0.87517
0.05;0.94705
0.05;1.0253
0.05;1.1102
0.05;1.2021
0.05;1.3012
0.05;1.4077
0.05;1.5217
0.05;1.6433
0.05;1.773
0.05;1.9111
0.05;2.058
0.05;2.2139
0.05;2.3792
0.05;2.5543
0.05;2.7397
0.05;2.936
0.050003;3.1438
0.050011;3.3635
0.050028;3.5954
0.050069;3.8396
0.050198;4.0962
0.050726;4.3653
0.053153;4.6469
0.060669;4.9408
0.070712;5.2464
0.080823;5.5632
0.091098;5.89
0.10203;6.2262
0.11632;6.5706
0.13639;6.9221
0.1568;7.2791
0.17776;7.6404
0.19883;8.0044
0.22166;8.37
0.24253;8.7362
0.26403;9.1025
0.28669;9.4685
0.31331;9.8338
0.33895;10.198
0.36003;10.562
0.3831;10.925
0.41187;11.287
0.44044;11.65
0.46738;12.013
0.49659;12.375
0.52675;12.738
0.55981;13.101
0.59085;13.463
0.62321;13.825
0.66208;14.185
0.69753;14.545
0.73005;14.903
0.76282;15.258
0.79501;15.612
0.83029;15.963
0.86716;16.311
0.90202;16.656
0.94696;16.997
0.98666;17.334
1.0201;17.668
1.0622;17.998
1.1023;18.324
1.1506;18.647
1.1956;18.968
1.231;19.286
1.2683;19.602
1.3253;19.916
1.3927;20.229
1.4727;20.541
1.5494;20.854
1.6273;21.167
1.7093;21.48
1.7787;21.793
1.8777;22.107
1.9839;22.422
2.0885;22.738
2.1781;23.057
2.2473;23.378
2.3307;23.701
2.4319;24.023
2.5103;24.346
2.6833;24.67
2.8506;24.994
2.9979;25.315
3.1405;25.633
3.2816;25.947
3.4114;26.255
3.5489;26.561
3.6639;26.86
3.7581;27.153
3.8718;27.438
3.8818;27.714
3.9115;27.984
3.9324;28.245
3.9541;28.497
3.9884;28.738
4.1199;28.971
4.5971;29.194
5.1201;29.412
5.6578;29.624
6.2065;29.83
6.7581;30.028
7.3321;30.217
7.9298;30.401
8.5245;30.579
9.1235;30.751
9.6592;30.914
9.8721;31.066
10.049;31.207
10.246;31.339
10.442;31.461
10.66;31.573
10.859;31.673
11.041;31.762
11.243;31.839
11.439;31.906
11.618;31.962
12.761;31.962
