significant wave height [m];zero-upcrossing period [s]
0.28112;2.0861
0.29477;2.1081
0.30713;2.1248
0.32002;2.1431
0.33273;2.1605
0.34833;2.1868
0.36692;2.2212
0.38555;2.2544
0.40239;2.2812
0.41503;2.2954
0.42234;2.295
0.43029;2.2967
0.44496;2.3161
0.46278;2.3431
0.4815;2.3714
0.50254;2.4044
0.52505;2.4397
0.54247;2.4623
0.55835;2.481
0.57776;2.5071
0.60082;2.5401
0.62228;2.5688
0.64378;2.5969
0.66609;2.626
0.6877;2.653
0.70593;2.673
0.72544;2.695
0.75292;2.7308
0.7931;2.7879
0.84268;2.8587
0.88995;2.9228
0.93036;2.9732
0.96162;3.0076
0.98106;3.0231
0.99591;3.0316
1.0235;3.0598
1.0667;3.1108
1.1187;3.1737
1.1727;3.2378
1.2278;3.3016
1.2821;3.3628
1.3371;3.4236
1.3965;3.4883
1.4661;3.564
1.5438;3.6475
1.6313;3.74
1.7207;3.8318
1.805;3.9152
1.8791;3.9856
1.9422;4.0427
1.9895;4.0823
2.0303;4.1146
2.0704;4.1458
2.1134;4.1796
2.1578;4.2145
2.2078;4.2543
2.2576;4.2935
2.308;4.3325
2.3564;4.369
2.4039;4.4041
2.4484;4.4361
2.4917;4.4673
2.5335;4.4975
2.5727;4.5259
2.6083;4.5519
2.6415;4.5762
2.6733;4.5999
2.7032;4.6223
2.7337;4.6455
2.7653;4.6698
2.7981;4.6953
2.8332;4.7229
2.8731;4.7545
2.922;4.7935
3.0047;4.8597
3.3791;5.1528
3.7719;5.4433
4.1731;5.7249
5.0835;6.3186
